OBJECTID,FACILITYID,INSTALLDATE,DIAMETER,MATERIAL,RECORDLENG,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,SHAPE_Length,GlobalID,geometry,ResourceID
85,10007,000000,,Steel,,True,Our Agency,Our Agency,20170104135159,Esri,62.423459078617,{4CB1A297-CE2D-4F55-95B9-94F918DE5CEE},"LINESTRING (-88.15937203589445 41.768188162472484,-88.15942324044441 41.76802119706817)",a6fd4da2-0a69-4fe9-a6ee-36309a55cc35
90,10008,000000,,Steel,40,True,Our Agency,Our Agency,20100420110050,Esri,40.00011539777236,{DCB92530-3196-46CC-BB5A-58CC859CD8AA},"LINESTRING (-88.17160993136251 41.76399452161776,-88.17161324791101 41.764104266462084)",1a1f4626-36ae-4ab5-8443-f62a9a0bcd16
91,10009,000000,,Steel,,True,Our Agency,Our Agency,20170104135246,Esri,39.93586394076356,{9BE22189-55C0-441C-9076-FAC055E2F419},"LINESTRING (-88.17012424109136 41.76444684436624,-88.17017624629437 41.76454929160295)",b61227f5-88e8-4fbf-a053-a2d5ff8e4b25
93,10010,000000,16",Steel,20,True,Our Agency,Our Agency,20100420110050,Esri,19.99948730802622,{4151B751-E6A6-4310-9894-D56948B6B687},"LINESTRING (-88.15826133160719 41.767730176676395,-88.15826095646462 41.767675292550535)",9628bcd9-242a-4d11-98a0-538e52c74cb0
144,63649,19790101,20",Steel,44,True,Our Agency,Our Agency,20100420110050,Esri,42.36231978928441,{F5B69116-DC96-46E2-97F9-8BE33085DDD7},"LINESTRING (-88.12039189649406 41.769441255251344,-88.12023733555499 41.76942999414147)",bc6e90e5-69da-4bf0-bfdc-312f7c76d0ac
145,64448,19770101,20",Steel,44,True,Our Agency,Our Agency,20170104135327,Esri,46.35378404092638,{D0579EBE-1975-4C4B-9A0F-98E811DBC977},"LINESTRING (-88.12079832910128 41.766811096888915,-88.12063098632858 41.766789041595)",deeff2f2-324a-42c1-931e-1adae9ee6242
150,19769,19840101,,Steel,100,True,Our Agency,Our Agency,20100420110050,Esri,63.24812282030892,{912B3F8E-8BCF-4CF6-A605-EB74D8FA1B9D},"LINESTRING (-88.13067069759127 41.788592464660134,-88.13072293462606 41.78858609130046,-88.13076623148125 41.78855384016603,-88.13088256182412 41.788539447660355)",08941a47-516a-46e9-bc24-05597a108927
168,24199,19880101,16",Steel,40,True,Our Agency,Our Agency,20100420110050,Esri,32.65918253194319,{408C7A84-2331-440D-8D74-3C714DB73D43},"LINESTRING (-88.1267628114986 41.792000366154674,-88.12677101356358 41.79208978225478)",05170247-db62-4bc6-93d3-c7ac397f7868
172,98429,000000,,Concrete (Non-Reinforced),20,True,Our Agency,Our Agency,20100420110050,Esri,37.19867283538243,{3342B58E-B981-40C8-B453-886AE726859F},"LINESTRING (-88.17461428176065 41.783819363596294,-88.17471890067606 41.78375386624387)",721f9f5b-313c-4d1a-935e-1960a55c65d0
173,98430,000000,,Concrete (Non-Reinforced),20,True,Our Agency,Our Agency,20100420110050,Esri,33.18185207914496,{6E65AC75-2781-44C7-80CE-F04539E222EF},"LINESTRING (-88.17500874878716 41.78386204395671,-88.1749051039319 41.783814352927024)",0e80ce4e-37e9-4939-86c5-d0a1b19a2f0e
174,98436,19660101,,Concrete (Non-Reinforced),20,True,Our Agency,Our Agency,20100420110050,Esri,35.19004663126431,{13EC09E7-96C2-42AD-A721-7B5FB470661C},"LINESTRING (-88.17319552865048 41.7847489972242,-88.17315677715617 41.78477465755509,-88.17309889205066 41.78481298900024)",d77fc78c-9534-47b1-9050-0a00b286f2db
179,10000,000000,10",Steel,30,True,Our Agency,Our Agency,20100420110050,Esri,29.999940000474453,{451FF93B-16F8-489C-A4E2-62360F8D44B3},"LINESTRING (-88.13551998588282 41.764743460041416,-88.13551973300383 41.76482578901876)",8281a5c2-a0d4-424b-8a1f-6b544d32bcd0
180,10001,000000,10",Steel,50,True,Our Agency,Our Agency,20100420110050,Esri,50.000611456679344,{2FA13295-E732-4F88-A4C9-147CBE749E1D},"LINESTRING (-88.13550181940205 41.76473406856412,-88.13531854199042 41.76473448483935)",4ad44782-f469-445e-bf89-458f7886b97c
190,10002,000000,,Steel,75,True,Our Agency,Our Agency,20170104135421,Esri,69.83712709384713,{78142436-20A0-423F-B07B-4701311612B6},"LINESTRING (-88.14757177857518 41.780652432883365,-88.1476149670494 41.78061252568928,-88.1476185293785 41.780472253991505)",412c264f-be2d-4bd5-a77d-624ddef33bf6
196,10003,19990101,16",Steel,33,True,Our Agency,Our Agency,20100420110050,Esri,33.00046937518165,{71424F72-F3C9-4145-9D3B-C81C4E23C632},"LINESTRING (-88.13444743405806 41.77354980710475,-88.13441889134968 41.77346180022904)",cb601e6b-21a6-4dcf-a609-b0f97b607808
197,10004,000000,20",Steel,,True,Our Agency,Our Agency,20100420110050,Esri,30.97111485337634,{AC3AF718-388A-4D0A-A30D-394644279052},"LINESTRING (-88.13401585433188 41.77811076789158,-88.13402806506691 41.77802626656891)",512e1937-2db3-4bfb-be49-6b5cca63745e
199,10005,20040101,,Steel,,True,Our Agency,Our Agency,20170104135451,Esri,38.552433488703166,{FA58E877-BF84-4B53-B72D-3B767FC6223B},"LINESTRING (-88.16999647408988 41.77204101427565,-88.16999079595631 41.77193529981294)",6d6910ef-da21-4407-b49c-f59adb38b141
201,10006,20080101,20",Steel,,True,Our Agency,Our Agency,20100420110050,Esri,25.432598322293536,{C3AB25E9-0D1F-4298-855F-5618267BF20D},"LINESTRING (-88.16731258498781 41.78807386293615,-88.1672605552114 41.788015940382)",c01316a2-5fd7-457b-a777-f0a45b491d72
